msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
"You're such a retard, can't believe you messed that up.","[{'text': ""You're such a retard"", 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 0, 'end_pos': 19}]",2024-12-18T02:40:25.282414708Z,2024-12-18 10:40:26.131581
Are you blind or just stupid?,"[{'text': 'you blind or just', 'automod': {'topics': {'identity': 3}}}]",ableism,4,"[{'start_pos': 4, 'end_pos': 20}]",2024-12-18T02:40:29.784127521Z,2024-12-18 10:40:30.695218
"You're such a spaz, can't even play properly.","[{'text': ""You're such a spaz"", 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 0, 'end_pos': 17}]",2024-12-18T02:40:50.294807942Z,2024-12-18 10:40:50.675885
You're like a cripple trying to run a marathon.,"[{'text': 'like a cripple', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 7, 'end_pos': 20}]",2024-12-18T02:41:06.298877398Z,2024-12-18 10:41:06.709026
Stop being such a pussy.,"[{'text': 'pussy', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 18, 'end_pos': 22}]",2024-12-18T02:42:01.82231379Z,2024-12-18 10:42:02.184192
You play like a sissy.,"[{'text': 'sissy', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 16, 'end_pos': 20}]",2024-12-18T02:42:19.338859191Z,2024-12-18 10:42:19.750057
Stop trying to be something you're not. Women can't game.,"[{'text': ""Women can't game"", 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 40, 'end_pos': 55}]",2024-12-18T02:43:20.868816519Z,2024-12-18 10:43:21.695904
You're just another dumb girl trying to get attention.,"[{'text': 'dumb girl', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 20, 'end_pos': 28}]",2024-12-18T02:43:57.388731139Z,2024-12-18 10:43:58.210703
She gives off major slut vibes.,"[{'text': 'slut', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 20, 'end_pos': 23}]",2024-12-18T02:45:29.425455805Z,2024-12-18 10:45:29.852365
I bet she's a whore off-camera.,"[{'text': ""she's a whore"", 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 6, 'end_pos': 18}]",2024-12-18T02:45:30.928078828Z,2024-12-18 10:45:31.817727
You're just a bimbo trying to act smart.,"[{'text': ""You're just a bimbo"", 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 0, 'end_pos': 18}]",2024-12-18T02:45:33.92212824Z,2024-12-18 10:45:34.820646
That outfit screams slut.,"[{'text': 'slut', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 20, 'end_pos': 23}]",2024-12-18T02:46:07.438544324Z,2024-12-18 10:46:07.836375
She's just a slut with a controller.,"[{'text': ""She's just a slut"", 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 0, 'end_pos': 16}]",2024-12-18T02:46:29.449314399Z,2024-12-18 10:46:29.852243
